iteration,primal_residual,dual_residual
0,1.390868e0,1.126085e0
1,8.194214e-1,5.380939e-1
2,6.099702e-1,2.524146e-1
3,5.496710e-1,1.151191e-1
4,5.348441e-1,5.016739e-2
5,5.136883e-1,3.053681e-2
6,3.990337e-1,8.844206e-2
7,3.292590e-1,1.051991e-1
8,2.763067e-1,1.034146e-1
9,2.322702e-1,9.405315e-2
10,1.948736e-1,8.231479e-2
11,1.631426e-1,7.056425e-2
12,1.363529e-1,5.978783e-2
13,1.138357e-1,5.031534e-2
14,9.496960e-2,4.217552e-2
15,7.919530e-2,3.526931e-2
16,6.602328e-2,2.945261e-2
17,5.503306e-2,2.457460e-2
18,4.586773e-2,2.049421e-2
19,3.822654e-2,1.708620e-2
20,3.185717e-2,1.424234e-2
21,2.654850e-2,1.187054e-2
22,2.212418e-2,9.893080e-3
23,1.843703e-2,8.244714e-3
24,1.536430e-2,6.870835e-3
25,1.280364e-2,5.725816e-3
26,1.066972e-2,4.771574e-3
27,8.891450e-3,3.976341e-3
28,7.409548e-3,3.313633e-3
29,6.174627e-3,2.761368e-3
30,5.145524e-3,2.301144e-3
31,4.287938e-3,1.917622e-3
32,3.573282e-3,1.598019e-3
33,2.977735e-3,1.331683e-3
34,2.481446e-3,1.109736e-3
35,2.067872e-3,9.247802e-4
36,1.723226e-3,7.706502e-4
37,1.436022e-3,6.422086e-4
38,1.196685e-3,5.351738e-4
39,9.972376e-4,4.459782e-4
40,8.310313e-4,3.716485e-4
41,6.925261e-4,3.097071e-4
42,5.771051e-4,2.580892e-4
43,4.809209e-4,2.150744e-4
44,4.007674e-4,1.792286e-4
45,3.339728e-4,1.493572e-4
46,2.783107e-4,1.244643e-4
47,2.319256e-4,1.037203e-4
48,1.932713e-4,8.643356e-5
49,1.610594e-4,7.202797e-5
50,1.342162e-4,6.002331e-5
51,1.118468e-4,5.001942e-5
52,9.320569e-5,4.168285e-5
53,7.767141e-5,3.473571e-5
54,6.472617e-5,2.894642e-5
55,5.393848e-5,2.412202e-5
56,4.494873e-5,2.010168e-5
57,3.745728e-5,1.675140e-5
58,3.121440e-5,1.395950e-5
59,2.601200e-5,1.163292e-5
60,2.167666e-5,9.694099e-6
61,1.806389e-5,8.078416e-6
62,1.505324e-5,6.732013e-6
63,1.254437e-5,5.610011e-6
64,1.045364e-5,4.675009e-6
65,8.711365e-6,3.895841e-6
66,7.259471e-6,3.246534e-6
67,6.049559e-6,2.705445e-6
68,5.041299e-6,2.254538e-6
69,4.201083e-6,1.878781e-6
70,3.500902e-6,1.565651e-6
71,2.917419e-6,1.304709e-6
72,2.431182e-6,1.087258e-6
73,2.025985e-6,9.060481e-7
74,1.688321e-6,7.550401e-7
75,1.406934e-6,6.292001e-7
76,1.172445e-6,5.243334e-7
77,9.770376e-7,4.369445e-7
78,8.141980e-7,3.641204e-7
79,6.784983e-7,3.034337e-7
80,5.654153e-7,2.528614e-7
81,4.711794e-7,2.107178e-7
82,3.926495e-7,1.755982e-7
83,3.272079e-7,1.463318e-7
84,2.726733e-7,1.219432e-7
85,2.272277e-7,1.016193e-7
86,1.893564e-7,8.468277e-8
87,1.577970e-7,7.056898e-8
88,1.314975e-7,5.880748e-8
89,1.095813e-7,4.900623e-8
90,9.131772e-8,4.083853e-8
# center,-1.2000,-0.0333
