step,time,load,soc,terminal_voltage_no_recovery,terminal_voltage_recovery,relaxation_recovery
0,0.000,0.614,0.848,0.813,0.807,0.028
1,0.050,0.704,0.846,0.796,0.783,0.059
2,0.100,0.741,0.844,0.787,0.769,0.090
3,0.150,0.754,0.842,0.783,0.758,0.121
4,0.200,0.756,0.839,0.780,0.750,0.152
5,0.250,0.753,0.837,0.779,0.743,0.181
6,0.300,0.749,0.835,0.777,0.737,0.209
7,0.350,0.743,0.833,0.776,0.731,0.236
8,0.400,0.737,0.830,0.775,0.725,0.263
9,0.450,0.731,0.828,0.774,0.719,0.288
10,0.500,0.726,0.826,0.773,0.714,0.312
11,0.550,0.720,0.824,0.772,0.709,0.335
12,0.600,0.715,0.822,0.771,0.704,0.357
13,0.650,0.710,0.820,0.770,0.699,0.378
14,0.700,0.705,0.817,0.769,0.694,0.398
15,0.750,0.700,0.815,0.768,0.690,0.418
16,0.800,0.695,0.813,0.767,0.685,0.437
17,0.850,0.691,0.811,0.766,0.681,0.455
18,0.900,0.686,0.809,0.765,0.677,0.472
19,0.950,0.682,0.807,0.764,0.673,0.488
20,1.000,0.678,0.805,0.763,0.670,0.504
21,1.050,0.674,0.803,0.762,0.666,0.519
22,1.100,0.670,0.801,0.761,0.662,0.534
23,1.150,0.667,0.799,0.760,0.659,0.548
24,1.200,0.663,0.797,0.759,0.656,0.561
25,1.250,0.660,0.795,0.758,0.652,0.574
26,1.300,0.656,0.793,0.757,0.649,0.587
27,1.350,0.653,0.791,0.757,0.646,0.598
28,1.400,0.650,0.789,0.756,0.643,0.610
29,1.450,0.647,0.787,0.755,0.641,0.620
30,1.500,0.644,0.785,0.754,0.638,0.631
31,1.550,0.641,0.783,0.753,0.635,0.641
32,1.600,0.638,0.781,0.752,0.633,0.650
33,1.650,0.636,0.780,0.751,0.630,0.659
34,1.700,0.633,0.778,0.750,0.628,0.668
35,1.750,0.631,0.776,0.749,0.626,0.676
36,1.800,0.628,0.774,0.748,0.623,0.684
37,1.850,0.626,0.772,0.747,0.621,0.692
38,1.900,0.624,0.770,0.746,0.619,0.699
39,1.950,0.621,0.768,0.745,0.617,0.706
40,2.000,0.619,0.766,0.744,0.615,0.713
41,2.050,0.617,0.765,0.743,0.613,0.719
42,2.100,0.615,0.763,0.742,0.611,0.726
43,2.150,0.613,0.761,0.741,0.609,0.731
44,2.200,0.611,0.759,0.740,0.607,0.737
45,2.250,0.609,0.757,0.739,0.606,0.742
46,2.300,0.608,0.755,0.738,0.604,0.747
47,2.350,0.606,0.754,0.737,0.602,0.752
48,2.400,0.604,0.752,0.737,0.601,0.757
49,2.450,0.603,0.750,0.736,0.599,0.761
50,2.500,0.601,0.748,0.735,0.598,0.765
51,2.550,0.599,0.746,0.734,0.596,0.769
52,2.600,0.598,0.745,0.733,0.595,0.773
53,2.650,0.596,0.743,0.732,0.593,0.777
54,2.700,0.595,0.741,0.731,0.592,0.780
55,2.750,0.593,0.739,0.730,0.590,0.784
56,2.800,0.592,0.737,0.729,0.589,0.787
57,2.850,0.591,0.736,0.728,0.588,0.790
58,2.900,0.589,0.734,0.727,0.586,0.793
59,2.950,0.588,0.732,0.726,0.585,0.795
60,3.000,0.505,0.731,0.752,0.600,0.794
61,3.050,0.460,0.729,0.766,0.608,0.791
62,3.100,0.436,0.728,0.773,0.612,0.787
63,3.150,0.423,0.727,0.776,0.615,0.782
64,3.200,0.417,0.725,0.778,0.617,0.778
65,3.250,0.413,0.724,0.778,0.618,0.773
66,3.300,0.411,0.723,0.778,0.618,0.768
67,3.350,0.410,0.722,0.778,0.619,0.764
68,3.400,0.409,0.720,0.778,0.620,0.759
69,3.450,0.409,0.719,0.777,0.620,0.755
